Brand No.,Horse Name,Date,Details,Passed On
A005,RED ELYSEES,04/08/2022,Eight years of age or above at season end.,19/08/2022
A050,REGENCY BO BO,04/08/2022,Eight years of age or above at season end.,30/08/2022
A071,FLYING QUEST,04/08/2022,Eight years of age or above at season end.,01/09/2022
A164,RIGHT HONOURABLE,04/08/2022,Eight years of age or above at season end.,22/08/2022
A245,FORTUNE PATROL,04/08/2022,Eight years of age or above at season end.,05/09/2022
A247,FAITHFUL TRINITY,04/08/2022,Eight years of age or above at season end.,26/08/2022
A326,NOBLE STEED,04/08/2022,Eight years of age or above at season end.,26/08/2022
A379,SUNNY BOY,04/08/2022,Eight years of age or above at season end.,06/09/2022
,,15/11/2022,Left fore suspensory ligament injury.,18/11/2022
,,17/12/2022,Lame right fore.,23/03/2023
B001,EXPLOSIVE WITNESS,04/08/2022,Eight years of age or above at season end.,23/08/2022
,,18/09/2022,Lame left fore.,-
,,16/01/2023,Left fore fetlock injury.,-
B085,FEARLESS FIRE,04/08/2022,Eight years of age or above at season end.,16/08/2022
B119,HANDSOME BO BO,04/08/2022,Eight years of age or above at season end.,30/08/2022
,,18/12/2022,Substantial blood in trachea noted on post-race scoping.,03/01/2023
,,11/01/2023,Substantial blood in trachea noted on post-race scoping.,01/02/2023
B162,FLASH FAMOUS,04/08/2022,Eight years of age or above at season end.,06/09/2022
,,26/02/2023,Lame right hind.,13/03/2023
B188,GOODLUCK GOODLUCK,04/08/2022,Eight years of age or above at season end.,23/08/2022
B213,VINCY,04/08/2022,Eight years of age or above at season end.,06/09/2022
B230,TEAM SPIRIT,10/07/2022,Unacceptable performance. Update: Eight years of age or above at season end.,16/09/2022
,,30/11/2022,Unacceptable performance. (Third occasion within last six starts),15/12/2022
B285,RACING FIGHTER,04/08/2022,Eight years of age or above at season end.,01/11/2022
,,14/09/2022,Failed vet exam: Lame left front.,01/11/2022
B339,VILLA FIONN,04/08/2022,Eight years of age or above at season end.,01/09/2022
B350,TIANCHI MONSTER,04/08/2022,Eight years of age or above at season end.,06/09/2022
B370,PAKISTAN FRIEND,06/07/2022,Unacceptable performance.,27/09/2022
,,18/12/2022,Substantial blood in trachea noted on post-race scoping.,05/01/2023
B385,KASI FARASI,04/08/2022,Eight years of age or above at season end.,03/09/2022
B426,MURRAY'S PARTNERS,26/10/2022,Unacceptable performance.,08/11/2022
B456,SMART LEADER,01/05/2022,"After being loaded became very fractious, sat down, continued to be fractious after being removed from gates. Withdrawn from race.",05/05/2022
,,04/08/2022,Eight years of age or above at season end.,23/08/2022
,,19/02/2023,Lame right front leg.,04/04/2023
B463,CHARIZARD,04/08/2022,Eight years of age or above at season end.,30/08/2022
C035,REGENCY GEM,04/08/2022,Eight years of age or above at season end.,26/08/2022
C037,INVINCIBLE MISSILE,01/06/2022,Left fore fetlock bone injury.,26/09/2022
,,23/08/2022,Failed vet exam: Lame left fore after gallop.,26/09/2022
C080,JOLLY HONOUR,04/08/2022,Eight years of age or above at season end.,09/09/2022
C102,EIGHT TRIGRAMS,19/02/2023,Fever. Withdrawn from racing.,28/02/2023
C106,GOLDEN MISSION,03/09/2022,Lame left fore and was withdrawn from its barrier trial.,14/09/2022
,,06/03/2023,Lame right hind leg on the day after racing.,23/03/2023
C120,GLORIOUS DRAGON,26/07/2022,Surgery to left and right fore fetlocks.,28/11/2022
,,13/12/2022,Unraced for 12 months.,20/12/2022
C153,KUNGFUMASTER PANDA,04/08/2022,Eight years of age or above at season end.,23/08/2022
,,16/02/2023,Both front fetlock injury.,-
C163,HEAVENLY THOUGHT,04/08/2022,Eight years of age or above at season end.,02/09/2022
C198,KA YING STAR,26/02/2023,Unacceptable performance.,21/03/2023
,,04/04/2023,Lame left fore.,-
C201,SPARKLING KNIGHT,27/11/2022,Unacceptable performance.,13/12/2022
C240,KA YING MASTER,12/02/2023,Substantial mucus in trachea noted on post-race scoping.,-
C287,RED DESERT,25/06/2022,Unacceptable performance.,05/07/2022
C288,WORLD FAMOUS,09/10/2022,Unacceptable performance.,27/10/2022
C293,SKYEY SUPREME,06/10/2022,Heart irregularity noted after barrier trial.,03/11/2022
C303,STAR OF YUEN LONG,16/04/2022,Rider concerned horse's action at the Start. Lame left hind. Withdrawn from race.,26/04/2022
C304,RED BRICK FIGHTER,30/03/2023,Lame left front leg on the day after racing.,-
C332,SPARKLING DOLPHIN,23/11/2022,Substantial mucus in trachea noted on post-race scoping.,-
C341,SUPER WINNER,05/12/2022,Left fore suspensory ligament injury.,-
C357,NUNCHUKS,04/08/2022,Eight years of age or above at season end.,30/09/2022
C358,V CHEVALIERS,04/08/2022,Eight years of age or above at season end.,19/08/2022
C361,OVERSUBSCRIBED,27/06/2022,Lame right fore.,07/07/2022
C368,LONDON LUCKYSTAR,08/03/2023,Substantial blood in trachea noted on post-race scoping.,31/03/2023
C377,PING HAI GALAXY,14/09/2022,Unacceptable performance.,27/09/2022
C383,WINNING METHOD,11/07/2022,Right hind lameness with fetlock lesion. (extended period of rest advised).,29/09/2022
,,12/02/2023,Lame left front leg.,-
C389,U W BROTHER,01/01/2023,Substantial blood in trachea noted on post-race scoping.,20/01/2023
,,29/01/2023,Unacceptable performance.,10/02/2023
C406,JAZZ STEED,11/01/2023,Heart irregularity noted after racing. Also noted substantial blood in trachea on post-race scoping.,13/02/2023
C431,THE HULK,25/09/2022,Fever.,11/11/2022
C440,SEAWEED FORTUNE,15/05/2022,Bled from both nostrils after racing.,26/08/2022
,,03/03/2023,Fever and inappetence. Withdrawn from racing.,-
C456,TURF BRILLIANT,16/10/2022,Substantial blood in trachea noted on post-race scoping.,18/11/2022
,,24/01/2023,Unacceptable performance. Substantial blood in trachea noted on post-race scoping.,17/02/2023
C457,HERE COMES TED,03/04/2023,Right fore fetlock injury.,-
C463,FLYING SWORD,25/05/2022,Left fore medial splint bone surgery.,24/10/2022
C465,COLUMBUS COUNTY,06/11/2022,Bled from both nostrils after racing.,09/03/2023
C476,HERCULES,18/05/2022,Rider concerned horse's action during racing.,06/06/2022
C477,FLYING ON THE TURF,04/05/2022,Unacceptable performance.,28/05/2022
,,22/03/2023,Rider concerned horse's action during racing.,-
C480,NAMJONG SINGS,01/09/2022,Kicked in the left hind leg on the way to the barriers. Withdrawn from its barrier trial.,16/09/2022
,,26/03/2023,Unacceptable performance.,-
C483,WAR OF COURAGE,01/05/2022,Unacceptable performance.,10/05/2022
,,26/08/2022,Right front fetlock injury.,13/01/2023
C514,LUCKY VICTOR,24/12/2022,Unacceptable performance.,12/01/2023
,,29/03/2023,Unacceptable performance.,-
C534,COPARTNER ERA,10/05/2022,Left fore ligament injury.,06/09/2022
C535,SPEED FORCE,29/01/2023,Rider concerned horse's action during racing.,10/02/2023
,,30/03/2023,Lame right front leg on the day after racing.,-
D014,INFINITE POWER,29/05/2022,Unacceptable performance.,02/09/2022
D029,EVERYONE'S DELIGHT,13/07/2022,Rider concerned horse's action during racing.,31/08/2022
D033,HERO STAR,16/11/2022,Lame left front leg.,01/12/2022
D038,PRESIDENT'S CHOICE,01/05/2022,Substantial blood in trachea noted on post-race scoping.,30/05/2022
