Date,Jockey,Venue,Points,Open Odds,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8,Race9
09/04/2023,H Bowman,ST,70.0,2.40,3.50,2.90,2.00,2.40,1.70,1.45,1.33,1.05,1.09
06/04/2023,Z Purton,HV,36.0,2.40,2.60,2.35,2.00,3.50,2.15,1.55,2.75,-,-
02/04/2023,Z Purton,ST,44.0,1.70,1.60,1.40,1.55,1.90,2.40,2.70,2.65,1.40,-
29/03/2023,M Chadwick,ST,36.0,6.00,8.00,10.0,10.0,3.40,3.75,1.75,-,-,
26/03/2023,H Bowman,ST,44.0,5.00,6.50,3.20,4.25,5.00,4.25,3.75,6.00,5.50,-
22/03/2023,K Teetan,HV,28.0,6.50,8.00,10.0,17.0,13.0,4.50,3.75,6.00,-,-
19/03/2023,H Bowman,ST,36.0,5.50,4.00,7.00,10.0,3.20,3.50,3.85,4.75,3.40,-
15/03/2023,K Teetan,HV,52.0,3.20,2.85,1.80,1.28,1.40,1.33,1.28,1.30,-,-
11/03/2023,Z Purton,ST,58.0,1.40,1.33,1.35,2.20,1.80,1.85,1.80,2.05,1.60,-
08/03/2023,C Y Ho,HV,38.0,3.65,4.75,4.25,3.60,3.65,4.50,7.50,16.0,-,-
05/03/2023,S De Sousa,ST,38.0,7.50,8.00,11.0,4.25,5.00,1.80,2.85,2.75,3.00,-
01/03/2023,K Teetan,HV,36.0,3.40,3.25,4.00,2.75,3.00,3.25,3.50,8.50,-,-
26/02/2023,Z Purton,ST,36.0,2.00,1.70,2.00,1.75,1.75,1.28,1.33,1.07,1.07,-
22/02/2023,Z Purton,HV,32.0,2.20,2.20,2.30,2.60,2.60,2.20,1.40,1.75,-,-
19/02/2023,Z Purton,ST,60.0,1.75,1.70,1.35,1.25,1.14,1.30,1.11,1.11,1.11,-
15/02/2023,K Teetan,HV,32.0,4.75,4.25,8.00,4.50,5.00,7.00,13.0,6.50,-,-
12/02/2023,Z Purton,ST,40.0,1.45,1.55,1.65,1.55,1.33,1.10,1.40,1.25,1.08,-
08/02/2023,H Bowman,HV,34.0,6.50,9.00,4.50,2.75,2.25,1.28,1.13,1.04,-,-
05/02/2023,Z Purton,ST,38.0,2.50,2.75,4.00,2.50,2.65,3.75,3.85,3.40,3.85,-
01/02/2023,Z Purton,HV,28.0,2.20,2.10,2.00,2.15,1.45,1.65,1.14,1.33,-,-
29/01/2023,J Kah,ST,34.0,65,85,85,55,30,55,15.0,28,17.0,-
24/01/2023,H Bowman,ST,46.0,15.0,18.0,16.0,22,11.0,14.0,7.00,3.75,4.25,2.80
21/01/2023,Z Purton,ST,58.0,1.33,1.55,1.18,1.16,1.08,1.18,1.33,1.30,1.30,-
18/01/2023,L Hewitson,HV,30.0,25,30,18.0,18.0,4.75,10.0,9.00,-,-,
15/01/2023,Z Purton,ST,42.0,1.55,1.45,1.55,1.45,1.55,2.15,1.65,1.18,1.25,-
11/01/2023,S De Sousa,HV,56.0,4.25,4.20,3.00,4.00,2.00,1.85,1.80,1.06,-,-
08/01/2023,H Bowman,ST,44.0,7.00,7.50,6.00,3.20,2.60,3.75,1.65,1.60,1.04,1.04
