Date,Trainer,Venue,Points,Open Odds,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8,Race9
09/04/2023,F C Lor,ST,26.0,8.50,8.00,8.00,8.50,8.50,8.50,10.0,12.0,8.00,5.50
06/04/2023,C Fownes,HV,54.0,3.00,2.15,1.45,1.70,1.45,1.45,1.04,1.04,-,-
02/04/2023,P F Yiu,ST,30.0,13.0,12.0,7.50,9.00,3.85,4.00,3.50,8.00,5.50,-
02/04/2023,J Richards,ST,30.0,30,35,45,55,60,30,45,55,12.0,-
29/03/2023,F C Lor,ST,36.0,7.00,4.25,3.75,4.75,5.00,7.00,4.50,-,-,
26/03/2023,C W Chang,ST,36.0,28,35,30,35,30,50,17.0,1.90,1.95,-
22/03/2023,J Richards,HV,24.0,14.0,14.0,3.00,2.35,2.20,1.95,3.40,1.65,-,-
19/03/2023,K W Lui,ST,36.0,25,45,8.00,7.00,8.50,2.40,2.15,3.00,2.35,-
15/03/2023,P F Yiu,HV,34.0,6.50,9.00,7.50,7.50,6.00,5.00,12.0,2.65,-,-
11/03/2023,F C Lor,ST,36.0,12.0,18.0,11.0,4.25,2.30,2.25,2.30,1.85,1.85,-
08/03/2023,K W Lui,HV,28.0,4.50,3.75,3.75,3.50,2.50,5.50,5.50,5.50,-,-
05/03/2023,P F Yiu,ST,48.0,5.00,4.50,5.50,3.40,2.65,1.30,1.50,1.50,1.02,-
01/03/2023,D A Hayes,HV,28.0,7.50,14.0,8.00,22,22,15.0,5.00,5.50,-,-
26/02/2023,P F Yiu,ST,32.0,3.75,3.65,3.00,2.85,2.75,3.40,1.80,2.40,2.50,-
22/02/2023,K L Man,HV,28.0,3.25,2.30,2.65,2.10,1.90,1.30,1.08,1.06,-,-
19/02/2023,D J Hall,ST,54.0,5.50,5.00,4.75,4.25,1.90,1.90,1.18,1.18,1.18,-
15/02/2023,P F Yiu,HV,42.0,6.50,5.50,2.70,2.80,2.85,1.40,1.70,1.90,-,-
12/02/2023,A S Cruz,ST,26.0,3.60,6.50,5.00,4.00,2.40,2.10,1.80,2.05,1.70,-
08/02/2023,K W Lui,HV,24.0,6.50,5.50,3.65,4.25,4.75,4.75,4.50,5.50,-,-
05/02/2023,R Gibson,ST,30.0,20,22,6.50,6.50,6.50,6.00,4.50,3.20,3.00,-
01/02/2023,P F Yiu,HV,40.0,6.50,5.50,2.35,2.30,1.75,2.10,1.65,1.45,-,-
29/01/2023,J Size,ST,46.0,2.10,2.10,2.00,1.75,1.60,1.80,2.00,1.45,1.80,-
24/01/2023,K H Ting,ST,36.0,28,40,55,20,7.00,5.00,6.50,7.00,1.22,1.12
21/01/2023,P F Yiu,ST,28.0,16.0,15.0,20,17.0,35,40,7.50,6.00,40,-
18/01/2023,C Fownes,HV,40.0,3.50,2.60,1.40,1.80,1.80,1.40,1.40,-,-,
15/01/2023,J Size,ST,30.0,3.50,3.25,2.85,3.65,4.00,3.25,3.00,2.00,2.00,-
11/01/2023,C S Shum,HV,34.0,4.50,5.00,7.00,8.00,6.50,2.00,1.25,1.25,-,-
08/01/2023,F C Lor,ST,30.0,9.00,14.0,14.0,9.00,25,20,22,35,7.00,12.0
04/01/2023,C S Shum,HV,24.0,4.00,6.50,4.00,5.00,6.00,3.00,2.25,1.25,-,-
01/01/2023,W Y So,ST,28.0,50,60,17.0,35,35,30,22,13.0,9.00,6.50
28/12/2022,P C Ng,HV,28.0,8.50,8.00,30,18.0,6.00,8.00,7.50,12.0,-,-
24/12/2022,F C Lor,ST,30.0,6.00,4.50,7.50,6.00,2.75,1.75,1.55,1.60,1.50,-
21/12/2022,A S Cruz,HV,30.0,6.50,5.50,7.00,8.50,7.50,9.00,20,4.50,-,-
18/12/2022,J Size,ST,34.0,2.00,2.35,2.30,2.10,2.75,2.75,2.35,3.00,1.50,-
14/12/2022,J Size,HV,34.0,11.0,17.0,12.0,5.50,1.65,2.15,1.85,1.65,-,-
11/12/2022,J Size,ST,42.0,3.00,2.50,2.60,2.65,1.60,1.60,1.28,1.15,1.28,-
07/12/2022,K W Lui,HV,30.0,6.50,4.00,4.75,7.50,10.0,6.00,1.85,1.13,-,-
04/12/2022,T P Yung,ST,36.0,20,9.00,7.00,4.00,3.50,1.35,1.45,1.30,1.02,-
30/11/2022,C S Shum,HV,26.0,4.00,3.50,3.00,2.60,2.65,1.75,1.75,-,-,
27/11/2022,T P Yung,ST,40.0,15.0,25,-,-,-,-,-,-,-,-
23/11/2022,K W Lui,HV,32.0,14.0,17.0,-,-,-,-,-,-,-,
