Trainer,Win,2nd,3rd,4th,5th,Total Runs,Stakes won
"
J Size
",51,42,43,43,33,426,"$102,900,135"
"
P F Yiu
",45,24,33,33,33,348,"$74,463,365"
"
F C Lor
",44,35,37,34,38,418,"$88,235,465"
"
C S Shum
",36,52,34,36,39,368,"$89,308,060"
"
A S Cruz
",36,47,32,38,37,386,"$96,594,563"
"
C Fownes
",35,38,47,36,28,390,"$56,304,045"
"
K W Lui
",35,30,27,37,28,334,"$70,903,283"
"
P C Ng
",30,27,34,35,27,366,"$44,490,505"
"
D J Hall
",28,32,24,22,33,312,"$38,077,488"
"
K L Man
",28,30,17,30,26,300,"$53,189,925"
"
D J Whyte
",27,22,36,22,35,367,"$36,180,275"
"
D A Hayes
",25,24,39,35,38,378,"$41,812,485"
"
W Y So
",25,21,30,27,29,318,"$38,966,875"
"
J Richards
",24,19,15,17,15,223,"$23,912,770"
"
T P Yung
",23,29,20,24,25,314,"$31,384,800"
"
K H Ting
",17,16,16,14,13,261,"$19,077,363"
"
C H Yip
",14,22,21,21,23,310,"$19,757,575"
"
C W Chang
",14,12,14,14,10,192,"$15,277,800"
"
L Ho
",12,12,8,8,7,163,"$17,230,675"
"
R Gibson
",7,11,12,15,17,199,"$31,691,950"
"
Y S Tsui
",5,13,16,14,12,248,"$10,558,500"
"
A T Millard
",4,9,7,10,22,216,"$10,296,100"
"
T Tezuka
",1,0,0,0,0,2,"$12,540,000"
"
A Fabre
",0,1,0,0,0,1,"$4,840,000"
"
T Yasuda
",0,1,0,0,0,2,"$8,080,000"
"
A Neasham
",0,0,1,0,0,1,"$3,000,000"
"
T Ozeki
",0,0,1,0,0,1,"$2,200,000"
"
H Take
",0,0,0,0,1,1,"$792,000"
"
A P O'Brien
",0,0,0,0,1,3,"$726,000"
"
D Meagher
",0,0,0,0,0,1,$0
"
K Fujioka
",0,0,0,0,0,1,$0
"
M Delzangles
",0,0,0,0,0,1,"$440,000"
"
S Steinberg
",0,0,0,0,0,1,$0
"
T Kimura
",0,0,0,0,0,1,"$680,000"
"
T Matsushita
",0,0,0,0,0,1,$0
"
T Takano
",0,0,0,0,0,1,$0
"
Y Ikee
",0,0,0,0,0,1,$0
"
Y Munakata
",0,0,0,0,0,1,$0
"
Y Yahagi
",0,0,0,0,0,1,$0
