GVKEYIID,GVKEY,IID,dsci,isin,sedol,ibtic,exchg,exchgdesc,conm,busdesc,loc,prirow,ggroup,gind,gsector,gsubind,ggroupdesc,ginddesc,gsectordesc
01393202W,13932,02W,ORD USD.01(HONG KONG LIST),LU0633102719,B4Q1532,@WD8,170,Hong Kong Exchanges and Clearing Ltd,SAMSONITE INTERNATIONAL SA,"Samsonite International S.A. engages in the design, manufacture, sourcing, and distribution of travel luggage bags worldwide.",LUX,02W,2520,252030,25,25203010,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Consumer Discretionary
01549801W,15498,01W,ORD NPV,HK0011000095,6408374,@SEN,170,Hong Kong Exchanges and Clearing Ltd,HANG SENG BANK LTD,"Hang Seng Bank Limited, together with its subsidiaries, provides various banking and related financial services to individual, corporate, commercial, small and medium-sized enterprise, and institutional customers in Hong Kong, Mainland China, and internationally.",HKG,01W,4010,401010,40,40101010,Banks,Banks,Financials
01553001W,15530,01W,ORD NPV,HK0023000190,6075648,@BEA,170,Hong Kong Exchanges and Clearing Ltd,BANK OF EAST ASIA LTD,"The Bank of East Asia, Limited, together with its subsidiaries, provides various banking and related financial services.",HKG,01W,4010,401010,40,40101010,Banks,Banks,Financials
01565201W,15652,01W,ORD NPV,HK0086000525,6859789,@SHJ,170,Hong Kong Exchanges and Clearing Ltd,SUN HUNG KAI & CO LTD,"Sun Hung Kai & Co. Limited, an investment holding company, provides financial services in Hong Kong and China. The company operates through Consumer Finance, Specialty Finance, Mortgage Loans, Investment Management, and Group Management and Support segments. It offers unsecured loan to individuals and businesses through branches and online platforms; and funding solutions to corporates, investment funds, and high net worth individuals. The company also provides structured and specialty financing; mortgage loan financing; consumer, SME, and other financing; portfolio investments; alternative investments; and liquidity services. In addition, it offers secretarial, financial consultancy, nominee, loan guarantee, money lending, asset management, property investment, securities trading, and fund management services. The company was incorporated in 1969 and is headquartered in Causeway Bay, Hong Kong. Sun Hung Kai & Co. Limited is a subsidiary of AP Emerald Limited.",HKG,01W,4020,402020,40,40202010,Diversified Financials,Consumer Finance,Financials
01569701W,15697,01W,ORD NPV,HK0012000102,6420538,@HEL,170,Hong Kong Exchanges and Clearing Ltd,HENDERSON LAND DEVELOPMT LTD,"Henderson Land Development Company Limited, an investment holding company, engages in the property development and investment activities in Hong Kong and Mainland China.",HKG,01W,6010,601020,60,60102030,,,
01574903W,15749,03W,ORD NPV,HK0014000126,6449629,@HYD,170,Hong Kong Exchanges and Clearing Ltd,HYSAN DEVELOPMENT CO LTD,"Hysan is a leading property investment, management and development company in Hong Kong, with a portfolio of more than 4 million square feet of high-quality office, retail and residential properties. Operating primarily in the city's prime retail/office district of Causeway Bay, we are focused on delighting our customers and providing investors with outstanding returns.",HKG,03W,6010,601020,60,60102020,,,
01576901W,15769,01W,CL A ORD HKD.20,HK0049009647,6280442,@HKR,170,Hong Kong Exchanges and Clearing Ltd,WHEELOCK PROPERTIES LTD,"Wheelock Properties Limited is a holding company, which through its subsidiaries, acquires, develops, designs, constructs, sells, and markets properties in Hong Kong, Singapore, and China. The company also leases its investment properties, which include retail, apartment, and office properties located in Hong Kong and Singapore. The company was formerly known as New Asia Realty & Trust Co. Ltd. and changed its name to Wheelock Properties Limited in September 2004. Wheelock Properties Limited was incorporated in 1923 and is based in Central, Hong Kong.",HKG,01W,4040,404030,40,40403010,Real Estate,Real Estate Management & Development,Financials
01584001W,15840,01W,ORD USD.5,BMG420981224,6390363,@HL,170,Hong Kong Exchanges and Clearing Ltd,GUOCO GROUP LTD,"Guoco Group Limited, an investment holding company, engages in the principal investment, property investment and development, hospitality and leisure, and financial service businesses. The company's Principal Investment segment offers debt, equity, and direct investments, as well as treasury operations with trading and strategic investments in global capital markets. Its Property Development and Investment segment develops residential and commercial properties, as well as holds properties for rental income in Singapore, China, Malaysia, Vietnam, and Hong Kong. The company's Hospitality and Leisure Business segment owns, leases, and manages hotels; and operates gaming and leisure businesses in the United Kingdom, Spain, and Belgium. This segment owns and operates hotels under Amba, Guoman, Thistle, and Thistle Express brands, as well as operates Hard Rock Hotel London under a third party brand. It offers Mecca, a bingo operator in Great Britain with 82 venues and a digital channel, www.meccabingo.com that provides a selection of games from bingo to slot machines; Grosvenor Casinos, a casino operator with 52 casinos in Great Britain and one unbranded casino in Belgium, as well as its digital channel, www.grosvenorcasinos.com; and Enracha, which offers a range of popular games and sports betting through its 9 venues in Spain and its digital channels www.enracha.es, www.yobingo.es, and www.yocasino.es. Its Financial Services segment provides commercial and consumer, Islamic, and investment banking services; and life and general insurance, Takaful insurance, fund management and unit trust, corporate advisory, and stock broking services. The company also offers royalty entitlement of Bass Strait's oil and gas production, as well as manufactures, markets, and distributes health products. The company is based in Central, Hong Kong. Guoco Group Limited is a subsidiary of GuoLine Overseas Limited.",HKG,01W,2010,201050,20,20105010,Capital Goods,Industrial Conglomerates,Industrials
01653801W,16538,01W,ORD NPV,HK0293001514,6179755,@CTP,170,Hong Kong Exchanges and Clearing Ltd,CATHAY PACIFIC AIRWAYS LTD,"Cathay Pacific Airways Limited, together with its subsidiaries, operates as a carrier of international passengers and air cargo. The company conducts airline operations principally to and from Hong Kong.",HKG,01W,2030,203020,20,20302010,Transportation,Airlines,Industrials
01659001W,16590,01W,ORD NPV,HK0006000050,6435327,@HKE,170,Hong Kong Exchanges and Clearing Ltd,POWER ASSETS HOLDINGS LTD,"Power Assets Holdings Limited, an investment holding company, generates, transmits, and distributes electricity in Hong Kong, the United Kingdom, Australia, Mainland China, and internationally. The company generates energy from thermal, renewable energy, and waste sources.",HKG,01W,5510,551010,55,55101010,Utilities,Electric Utilities,Utilities
